dst,dst_ip,num_ports,num_connections,num_syn,num_rst
3226953258,192.87.102.42,1,91,4,11
2616663045,155.247.28.5,1,560,3,11
172377852,10.70.70.252,1019,1607,1146,10
170403951,10.40.40.111,102,2454,389,10
174351465,10.100.100.105,187,59662,275,10
3232292875,192.168.224.11,3,14540,21,10
1249764256,74.125.227.160,2,2004,447,9
170404091,10.40.40.251,101,1803,443,9
171062011,10.50.50.251,100,1748,433,9
170403950,10.40.40.110,102,2449,373,9
3221245186,192.0.77.2,2,272,22,9
1049779402,62.146.92.202,1,86,3,9
171719790,10.60.60.110,997,4809,2210,8
171719880,10.60.60.200,996,2474,2184,8
169088200,10.20.20.200,1000,2238,2076,8
171061960,10.50.50.200,100,276,256,8
168430185,10.10.10.105,100,235,209,8
301545976,17.249.57.248,1,173,6,8
1486675546,88.156.222.90,1,18,4,8
171719685,10.60.60.5,1516,22085,5997,7
171719932,10.60.60.252,996,2549,1384,7
173035626,10.80.80.106,994,1104,1062,7
171061867,10.50.50.107,176,609,550,7
177078365,10.142.0.93,615,39399,200,7
3627735748,216.58.218.196,2,1243,56,7
2157547795,128.153.145.19,1,537,42,7
915947037,54.152.62.29,1,282,14,7
3325270098,198.51.152.82,1,40,8,7
919709850,54.209.168.154,1,114,7,7
3338456601,198.252.206.25,2,207,6,7
3342570578,199.59.148.82,1,410,5,7
391089660,23.79.141.252,1,45,3,7
3370917642,200.236.31.10,1,65,3,7
3427780040,204.79.197.200,2,3875,1337,6
1249764258,74.125.227.162,2,1428,533,6
2886755531,172.16.100.203,213,1673,521,6
3232248419,192.168.50.99,200,17959,184,6
178264726,10.160.26.150,141,8791,53,6
1109600066,66.35.39.66,2,536,18,6
2915201873,173.194.115.81,2,745,9,6
1249764305,74.125.227.209,2,699,7,6
301545974,17.249.57.246,1,114,6,6
175702061,10.121.0.45,12,695,6,6
520962565,31.13.66.5,1,332,5,6
2822736468,168.63.138.84,1,49,5,6
301545975,17.249.57.247,1,130,4,6
3583744144,213.155.152.144,1,107,2,6
1145274660,68.67.129.36,1,18,2,6
168430085,10.10.10.5,968,2260,608,5
171061765,10.50.50.5,460,4368,460,5
174981196,10.110.0.76,205,21054,116,5
1814584989,108.40.94.157,3,2619,58,5
3340455557,199.27.78.133,2,425,32,5
175702227,10.121.0.211,29,398,14,5
1249764308,74.125.227.212,2,2015,11,5
3232253713,192.168.71.17,1,81,9,5
3645354400,217.71.177.160,1,113,6,5
391087039,23.79.131.191,1,165,5,5
1822467645,108.160.166.61,1,42,3,5
301545978,17.249.57.250,1,33,2,5
171061871,10.50.50.111,100,2655,548,4
1249764265,74.125.227.169,2,756,521,4
174351565,10.100.100.205,11,3680,287,4
2886755530,172.16.100.202,168,811,280,4
2886755533,172.16.100.205,175,749,274,4
3232245718,192.168.39.214,161,1641,134,4
3627735757,216.58.218.205,1,506,24,4
3627735749,216.58.218.197,1,2221,24,4
3627735722,216.58.218.170,2,383,19,4
3627735753,216.58.218.201,2,208,18,4
174351466,10.100.100.106,14,94,17,4
1077846061,64.62.160.45,1,230,12,4
